time,load,runnable,cpu,idle,iowait,irq,net lo,net enp2s0,net wlp3s0,net docker0,
 1.0,11.62,2,6.88%,0.00%,0.00%,0.31%,0,60,0,0,
 2.0,11.62,2,6.75%,0.00%,0.00%,0.25%,0,148,74,0,
 3.0,11.62,2,2.38%,0.06%,0.00%,0.12%,782,48778,668,0,
 4.0,11.62,17,89.88%,0.00%,0.00%,0.25%,0,2046,771,0,
 5.0,11.97,17,100.06%,0.00%,0.00%,0.00%,0,1870,438,0,
 6.0,11.97,17,100.00%,0.00%,0.00%,0.00%,0,132,0,0,
 7.0,11.97,17,100.00%,0.00%,0.00%,0.00%,0,66,0,0,
 8.0,11.97,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
 9.0,11.97,17,99.94%,0.00%,0.00%,0.00%,0,276,138,0,
10.0,12.29,17,100.00%,0.00%,0.00%,0.00%,0,126,126,0,
11.0,12.29,17,100.06%,0.00%,0.00%,0.00%,0,120,60,0,
12.0,12.29,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
13.0,12.29,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
14.0,12.29,17,100.38%,0.00%,0.00%,0.00%,0,0,0,0,
15.0,12.59,17,100.00%,0.00%,0.00%,0.00%,0,183,123,0,
16.0,12.59,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
17.0,12.59,17,100.00%,0.00%,0.00%,0.00%,0,464,232,0,
18.0,12.59,17,99.94%,0.00%,0.00%,0.00%,0,120,0,0,
19.0,12.59,17,100.00%,0.00%,0.00%,0.00%,0,60,120,0,
20.0,12.86,17,100.06%,0.00%,0.00%,0.00%,0,243,183,0,
21.0,12.86,17,100.00%,0.00%,0.00%,0.00%,0,386,120,0,
22.0,12.86,17,99.94%,0.00%,0.00%,0.00%,0,270,0,0,
23.0,12.86,17,100.06%,0.00%,0.00%,0.00%,0,66,60,0,
24.0,12.86,17,99.94%,0.00%,0.00%,0.00%,0,120,60,0,
25.0,13.12,17,100.00%,0.00%,0.00%,0.00%,0,246,186,0,
26.0,13.12,17,100.44%,0.00%,0.00%,0.00%,0,120,60,0,
27.0,13.12,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
28.0,13.12,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
29.0,13.12,17,100.00%,0.00%,0.00%,0.00%,0,180,60,0,
30.0,13.35,17,100.00%,0.00%,0.00%,0.00%,0,246,186,0,
31.0,13.35,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
32.0,13.35,17,99.94%,0.00%,0.00%,0.00%,0,120,60,0,
33.0,13.35,17,100.06%,0.00%,0.00%,0.00%,0,236,42,0,
34.0,13.35,17,100.00%,0.00%,0.00%,0.00%,0,580,274,0,
35.0,13.56,17,99.94%,0.00%,0.00%,0.00%,0,242,168,0,
36.0,13.56,17,100.06%,0.00%,0.00%,0.00%,0,180,122,0,
37.0,13.56,17,100.38%,0.00%,0.00%,0.00%,0,695,294,0,
38.0,13.56,17,100.00%,0.00%,0.00%,0.00%,0,630,114,0,
39.0,13.56,17,100.00%,0.00%,0.00%,0.00%,0,214,174,0,
40.0,13.76,18,100.00%,0.00%,0.00%,0.00%,0,220,240,0,
41.0,13.76,17,100.00%,0.00%,0.00%,0.00%,0,214,174,0,
42.0,13.76,17,100.00%,0.00%,0.00%,0.00%,0,706,708,0,
43.0,13.76,17,100.00%,0.00%,0.00%,0.00%,0,990,429,0,
44.0,13.76,17,100.00%,0.00%,0.00%,0.00%,0,0,114,0,
45.0,13.94,17,100.00%,0.00%,0.00%,0.00%,0,832,555,0,
46.0,13.94,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
47.0,13.94,17,100.00%,0.00%,0.00%,0.00%,0,120,244,0,
48.0,13.94,17,100.44%,0.00%,0.00%,0.00%,0,164,114,0,
49.0,13.94,17,100.00%,0.00%,0.00%,0.00%,0,214,60,0,
50.0,14.10,17,100.00%,0.00%,0.00%,0.00%,0,246,186,0,
51.0,14.10,17,99.94%,0.00%,0.00%,0.00%,0,584,268,0,
52.0,14.10,17,100.00%,0.00%,0.00%,0.00%,0,282,282,0,
53.0,14.10,17,100.00%,0.00%,0.00%,0.06%,0,180,60,0,
54.0,14.10,17,100.00%,0.00%,0.00%,0.00%,0,66,0,0,
55.0,14.25,17,100.00%,0.00%,0.00%,0.00%,0,320,197,0,
56.0,14.25,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
57.0,14.25,17,100.00%,0.00%,0.00%,0.00%,0,362,322,0,
58.0,14.25,18,100.00%,0.00%,0.00%,0.00%,0,576,60,0,
59.0,14.25,17,100.00%,0.00%,0.00%,0.00%,0,268,208,0,
60.0,14.39,17,100.00%,0.00%,0.00%,0.00%,0,126,126,0,
61.0,14.39,17,100.44%,0.00%,0.00%,0.00%,0,120,0,0,
62.0,14.39,17,100.00%,0.00%,0.00%,0.00%,0,148,233,0,
63.0,14.39,17,99.94%,0.00%,0.00%,0.00%,0,1280,504,0,
64.0,14.39,17,100.00%,0.00%,0.00%,0.06%,0,1624,588,0,
65.0,14.52,17,99.94%,0.00%,0.00%,0.00%,0,1750,672,0,
66.0,14.52,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
67.0,14.52,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
68.0,14.52,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
69.0,14.52,17,100.00%,0.00%,0.00%,0.00%,0,464,232,0,
70.0,14.64,17,100.06%,0.00%,0.00%,0.00%,0,738,309,0,
71.0,14.64,17,100.00%,0.00%,0.00%,0.00%,0,492,246,0,
72.0,14.64,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
73.0,14.64,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
74.0,14.64,17,100.38%,0.00%,0.00%,0.00%,0,120,0,0,
75.0,14.75,17,100.00%,0.00%,0.00%,0.00%,0,126,126,0,
76.0,14.75,17,100.00%,0.00%,0.00%,0.00%,0,60,60,0,
77.0,14.75,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
78.0,14.75,17,99.94%,0.00%,0.00%,0.00%,0,60,0,0,
79.0,14.75,17,100.06%,0.00%,0.00%,0.00%,0,120,0,0,
80.0,14.93,17,99.94%,0.00%,0.00%,0.00%,0,126,123,0,
81.0,14.93,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
82.0,14.93,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
83.0,14.93,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
84.0,14.93,17,100.44%,0.00%,0.00%,0.00%,0,0,60,0,
85.0,15.02,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
86.0,15.02,17,99.94%,0.00%,0.00%,0.00%,0,464,146,0,
87.0,15.02,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
88.0,15.02,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
89.0,15.02,17,100.06%,0.00%,0.00%,0.00%,0,120,60,0,
90.0,15.10,17,100.00%,0.00%,0.00%,0.00%,0,246,186,0,
91.0,15.10,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
92.0,15.10,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
93.0,15.10,17,99.94%,0.00%,0.00%,0.00%,0,120,60,0,
94.0,15.10,17,100.00%,0.00%,0.00%,0.00%,0,366,183,0,
95.0,15.17,17,100.44%,0.00%,0.00%,0.00%,0,306,248,0,
96.0,15.17,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
97.0,15.17,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
98.0,15.17,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
99.0,15.17,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
100.0,15.24,19,100.00%,0.00%,0.00%,0.00%,0,126,63,0,
101.0,15.24,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
102.0,15.24,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
103.0,15.24,17,100.00%,0.00%,0.00%,0.00%,0,464,146,0,
104.0,15.24,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
105.0,15.30,17,100.00%,0.00%,0.00%,0.00%,0,126,126,0,
106.0,15.30,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
107.0,15.30,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
108.0,15.30,17,100.38%,0.00%,0.00%,0.00%,0,120,60,0,
109.0,15.30,17,100.06%,0.00%,0.00%,0.00%,0,0,0,0,
110.0,15.35,17,100.00%,0.00%,0.00%,0.00%,0,246,186,0,
111.0,15.35,17,99.94%,0.00%,0.00%,0.00%,0,180,0,0,
112.0,15.35,17,100.00%,0.00%,0.00%,0.00%,0,416,282,0,
113.0,15.35,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
114.0,15.35,17,100.06%,0.00%,0.00%,0.00%,0,60,60,0,
115.0,15.49,17,99.94%,0.00%,0.00%,0.00%,0,394,123,0,
116.0,15.49,17,100.00%,0.00%,0.00%,0.06%,0,120,208,0,
117.0,15.49,17,100.00%,0.00%,0.00%,0.00%,0,74,74,0,
118.0,15.49,17,100.00%,0.00%,0.00%,0.00%,0,60,0,0,
119.0,15.49,17,100.38%,0.00%,0.00%,0.00%,0,120,60,0,
120.0,15.53,17,100.00%,0.00%,0.00%,0.00%,0,738,446,0,
121.0,15.53,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
122.0,15.53,17,100.00%,0.00%,0.00%,0.00%,0,980,416,0,
123.0,15.53,17,99.94%,0.00%,0.00%,0.06%,0,1976,672,0,
124.0,15.53,17,100.06%,0.00%,0.00%,0.00%,0,1740,546,0,
125.0,15.57,17,99.94%,0.00%,0.00%,0.00%,0,1806,714,0,
126.0,15.57,17,100.06%,0.00%,0.00%,0.00%,0,1278,0,0,
127.0,15.57,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
128.0,15.57,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
129.0,15.57,17,100.00%,0.00%,0.00%,0.00%,0,332,120,0,
130.0,15.60,17,100.38%,0.00%,0.00%,0.00%,0,1194,810,0,
131.0,15.60,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
132.0,15.60,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
133.0,15.60,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
134.0,15.60,17,99.94%,0.00%,0.00%,0.00%,0,120,60,0,
135.0,15.63,17,100.00%,0.00%,0.00%,0.00%,0,246,126,0,
136.0,15.63,17,100.06%,0.00%,0.00%,0.00%,0,832,684,0,
137.0,15.63,17,100.00%,0.00%,0.00%,0.00%,0,464,232,0,
138.0,15.63,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
139.0,15.63,17,99.94%,0.00%,0.00%,0.00%,0,120,0,0,
140.0,15.66,17,100.00%,0.00%,0.00%,0.00%,0,126,126,0,
141.0,15.66,17,100.44%,0.00%,0.00%,0.00%,0,120,60,0,
142.0,15.66,17,99.94%,0.00%,0.00%,0.00%,0,120,60,0,
143.0,15.66,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
144.0,15.66,17,100.06%,0.00%,0.00%,0.00%,0,0,0,0,
145.1,15.69,17,99.94%,0.00%,0.00%,0.00%,0,246,186,0,
146.1,15.69,17,100.00%,0.00%,0.00%,0.00%,0,236,110,0,
147.1,15.69,17,100.06%,0.00%,0.00%,0.00%,0,120,0,0,
148.1,15.69,17,99.94%,0.00%,0.00%,0.00%,0,0,0,0,
149.1,15.69,17,100.06%,0.00%,0.00%,0.06%,0,120,60,0,
150.1,15.71,17,99.94%,0.00%,0.00%,0.00%,0,246,60,0,
151.1,15.71,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
152.1,15.71,17,100.00%,0.00%,0.00%,0.00%,0,0,60,0,
153.1,15.71,17,100.44%,0.00%,0.00%,0.00%,0,259,60,0,
154.1,15.71,17,100.00%,0.00%,0.00%,0.00%,0,640,164,0,
155.1,15.74,17,99.94%,0.00%,0.00%,0.00%,0,186,86,0,
156.1,15.74,17,100.00%,0.00%,0.00%,0.00%,0,236,176,0,
157.1,15.74,17,100.06%,0.00%,0.00%,0.00%,0,120,60,0,
158.1,15.74,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
159.1,15.74,17,99.94%,0.00%,0.00%,0.00%,0,0,0,0,
160.1,15.76,17,100.06%,0.00%,0.00%,0.00%,0,325,265,0,
161.1,15.76,17,100.00%,0.00%,0.00%,0.00%,0,612,306,0,
162.1,15.76,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
163.1,15.76,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
164.1,15.76,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
165.1,15.78,17,100.38%,0.00%,0.00%,0.00%,0,246,186,0,
166.1,15.78,17,100.00%,0.00%,0.00%,0.00%,0,612,429,0,
167.1,15.78,17,100.00%,0.00%,0.00%,0.00%,0,492,369,0,
168.1,15.78,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
169.1,15.78,17,100.00%,0.00%,0.00%,0.00%,0,612,429,0,
170.1,15.80,17,100.00%,0.00%,0.00%,0.00%,0,306,63,0,
171.1,15.80,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
172.1,15.80,17,100.00%,0.00%,0.00%,0.00%,0,612,306,0,
173.1,15.80,17,100.00%,0.00%,0.00%,0.00%,0,384,250,0,
174.1,15.80,17,100.00%,0.00%,0.00%,0.00%,0,120,219,0,
175.1,15.81,17,100.00%,0.00%,0.00%,0.00%,0,126,63,0,
176.1,15.81,17,100.00%,0.00%,0.00%,0.00%,0,268,208,0,
177.1,15.81,17,100.38%,0.00%,0.00%,0.00%,0,268,208,0,
178.1,15.81,17,100.00%,0.00%,0.00%,0.00%,0,60,0,0,
179.1,15.81,17,100.00%,0.00%,0.00%,0.00%,0,0,60,0,
180.1,15.83,17,100.00%,0.00%,0.00%,0.00%,0,394,334,0,
181.1,15.83,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
182.1,15.83,17,100.06%,0.00%,0.00%,0.00%,0,1744,546,0,
183.1,15.83,18,99.94%,0.00%,0.00%,0.00%,0,1596,536,0,
184.1,15.83,18,100.06%,0.00%,0.00%,0.00%,0,1814,711,0,
185.1,15.84,17,99.94%,0.00%,0.00%,0.00%,0,126,126,0,
186.1,15.84,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
187.1,15.84,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
188.1,15.84,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
189.1,15.84,17,100.44%,0.00%,0.00%,0.00%,0,292,146,0,
190.1,15.86,17,100.00%,0.00%,0.00%,0.00%,0,126,126,0,
191.1,15.86,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
192.1,15.86,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
193.1,15.86,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
194.1,15.86,17,100.00%,0.00%,0.00%,0.00%,0,369,246,0,
195.1,15.87,17,99.94%,0.00%,0.00%,0.00%,0,246,186,0,
196.1,15.87,17,100.06%,0.00%,0.00%,0.00%,0,199,139,0,
197.1,15.87,17,100.00%,0.00%,0.00%,0.00%,0,304,244,0,
198.1,15.87,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
199.1,15.87,17,100.00%,0.00%,0.00%,0.00%,0,784,576,0,
200.1,15.88,17,100.00%,0.00%,0.00%,0.00%,0,246,186,0,
201.1,15.88,17,100.00%,0.00%,0.00%,0.00%,0,754,377,0,
202.1,15.88,18,100.38%,0.00%,0.00%,0.00%,0,314,147,0,
203.1,15.88,18,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
204.1,15.88,17,100.06%,0.00%,0.00%,0.00%,0,120,60,0,
205.1,15.89,17,99.94%,0.00%,0.00%,0.00%,0,246,306,0,
206.1,15.89,17,100.00%,0.00%,0.00%,0.00%,0,890,326,0,
207.1,15.89,17,100.06%,0.00%,0.00%,0.00%,0,134,94,0,
208.1,15.89,17,99.94%,0.00%,0.00%,0.00%,0,254,154,0,
209.1,15.89,17,100.00%,0.00%,0.00%,0.00%,0,254,154,0,
210.1,15.90,17,100.00%,0.00%,0.00%,0.00%,0,380,217,0,
211.1,15.90,17,100.06%,0.00%,0.00%,0.00%,0,0,1152,0,
212.1,15.90,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
213.1,15.90,17,100.31%,0.00%,0.00%,0.00%,0,120,60,0,
214.1,15.90,17,100.06%,0.00%,0.00%,0.00%,0,120,60,0,
215.1,15.91,17,100.00%,0.00%,0.00%,0.00%,0,434,270,0,
216.1,15.91,17,99.94%,0.00%,0.00%,0.00%,0,428,370,0,
217.1,15.91,17,100.06%,0.00%,0.00%,0.00%,0,952,476,0,
218.1,15.91,17,100.00%,0.00%,0.00%,0.00%,0,428,60,0,
219.1,15.91,17,99.94%,0.00%,0.00%,0.00%,0,120,308,0,
220.1,15.91,17,100.00%,0.00%,0.00%,0.00%,0,126,186,0,
221.1,15.91,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
222.1,15.91,17,100.00%,0.00%,0.00%,0.00%,0,428,60,0,
223.1,15.91,17,100.38%,0.00%,0.00%,0.00%,0,464,290,0,
224.1,15.91,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
225.1,15.92,17,100.00%,0.00%,0.00%,0.00%,0,123,123,0,
226.1,15.92,17,100.06%,0.00%,0.00%,0.00%,0,120,60,0,
227.1,15.92,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
228.1,15.92,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
229.1,15.92,17,99.94%,0.00%,0.00%,0.00%,0,120,60,0,
230.1,15.93,17,100.00%,0.00%,0.00%,0.06%,0,494,186,0,
231.1,15.93,17,100.00%,0.00%,0.00%,0.00%,0,180,430,0,
232.1,15.93,17,100.00%,0.00%,0.00%,0.00%,0,148,74,0,
233.1,15.93,16,99.12%,0.00%,0.00%,0.00%,0,324,250,0,
234.1,15.93,14,90.56%,0.00%,0.00%,0.00%,0,120,60,0,
235.1,15.69,10,67.69%,0.00%,0.00%,1.69%,0,306,165,0,
